Acid	酸	dragonborn_english_japanese.sst
Aela	アエラ	skyrim_english_japanese.sst
Aeri	アエリ	skyrim_english_japanese.sst
Aeta	アエタ	dragonborn_english_japanese.sst
Agna	アグナ	skyrim_english_japanese.sst
Agni	アグニ	skyrim_english_japanese.sst
Akar	アカール	dragonborn_english_japanese.sst
Alva	アルバ	skyrim_english_japanese.sst
Angi	アンジー	skyrim_english_japanese.sst
Area	効果範囲	skyrim_english_japanese.sst
Argi	アルギ	skyrim_english_japanese.sst
Arob	アロブ	skyrim_english_japanese.sst
Asta	アスタ	skyrim_english_japanese.sst
Ataf	アタフ	skyrim_english_japanese.sst
Atar	アタール	skyrim_english_japanese.sst
Atub	アタブ	skyrim_english_japanese.sst
Aval	アヴァル	skyrim_english_japanese.sst
Back	戻る	skyrim_english_japanese.sst
Ball	球	skyrim_english_japanese.sst
Bard	吟遊詩人	skyrim_english_japanese.sst
Bash	バッシュ	skyrim_english_japanese.sst
Bats	コウモリ	dawnguard_english_japanese.sst
Bear	クマ	hearthfires_english_japanese.sst
Bern	ベルン	skyrim_english_japanese.sst
Bind	拘束	skyrim_english_japanese.sst
BITS	ビット	hearthfires_english_japanese.sst
Blue	ブルー	skyrim_english_japanese.sst
Boar	イノシシ	dragonborn_english_japanese.sst
BOBS	ボブ	hearthfires_english_japanese.sst
Body	体	skyrim_english_japanese.sst
Bolt	電撃	skyrim_english_japanese.sst
Boti	ボティ	skyrim_english_japanese.sst
Bowl	器	skyrim_english_japanese.sst
Bran	ブラン	dawnguard_english_japanese.sst
Brow	眉	skyrim_english_japanese.sst
Burn	焼く	skyrim_english_japanese.sst
Cage	檻	skyrim_english_japanese.sst
Calm	鎮静	dawnguard_english_japanese.sst
Carp	コイ	ccbgssse001-fish_english_japanese.sst
Cave	洞窟	dawnguard_english_japanese.sst
Clam	貝	skyrim_english_japanese.sst
Clay	粘土	hearthfires_english_japanese.sst
Cold	寒さ	ccqdrsse001-survivalmode_english_japanese.sst
Cowl	頭巾	skyrim_english_japanese.sst
